LEVEL 1                 # Numer poziomu
DURATION 60             # Czas trwania poziomu w sekundach
MAX_STARS 50            # Limit gwiazdek na ekranie
MAX_HUNTERS 5           # Limit przeciwników
STAR_FREQ 15            # Częstotliwość spawnu gwiazd (klatki)
HUNTER_FREQ 100         # Częstotliwość spawnu wrogów (klatki)
HUNTER_DAMAGE 1         # Obrażenia zadawane przez wroga
STAR_GOAL 10            # Ilość gwiazdek potrzebna do wygrania
SPEED_LIMITS 1 5        # Min/Max prędkość gracza
HUNTER_TYPES 1 0 0 0 0  # Dozwolone typy wrogów (0 - wył, 1 - wł)

#   HUNTER TYPES (w,v,c):
#   1 - 1x2 GREEN
#   2 - 2x1 CYAN
#   3 - 1x3 MAGENTA
#   4 - 3x1 BLUE
#   5 - 2x2 RED
